url,types,name,desc_snippet,release_date,developer,publisher,popular_tags,game_details,languages,achievements,genre,game_description,mature_content,minimum_requirements,recommended_requirements,price
https://store.steampowered.com/app/568320/Pictopix/,app,Pictopix,Pictopix is a puzzle game where you use logic to color squares on grids in order to reveal pictures.,2019-01-28,Tomlab Games,"Tomlab Games,Tomlab Games","Puzzle,Indie,Casual,Relaxing,Minimalist,2D,Pixel Graphics,Replay Value,Level Editor,Family Friendly,Touch-Friendly,Education,Colorful,Strategy,Singleplayer,Logic","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Steam Leaderboards,Includes level editor","English,French,Spanish - Spain,Simplified Chinese,Czech,Hungarian,Russian,Turkish,Japanese,Dutch,Portuguese - Brazil,Swedish,German",34,"Casual,Indie,Strategy"," About This Game  Pictopix is a puzzle game where you use logic to color squares on grids in order to reveal pictures. Easy to learn and very addictive, the game starts with small grids and ends with much bigger grids. With over 300 colored puzzles, 4 game modes and a puzzle editor, Pictopix will bring you hours of fun! The game is similar to Picross, Nonograms, Hanjie, Pic-a-Pix, Paint by Numbers and Griddlers. Main Features Play over 300 puzzles (+1000 from players) Play 4 game modes: Classic, Mosaics, Endless and Challenges Learn the rules with a fun tutorial Earn awards and achievements for more challenges Create your own puzzles And share them with others players!  (via Steam Workshop) Relaxing music (Jazz, Bossa Nova) Discover hidden secrets! Other Features Logically solvable puzzles ( no guessing required) Useful hints to help beginners Playable with mouse, keyboard, game controller or touchscreen Multiple save slots Puzzles can be suspended and resumed at any time Undo and Redo buttons to fix your mistakes Zoom button for big grids Squares can be temporarily marked Smart Slide (helps you to draw straight lines even if the mouse wanders out of the row) Customizable interface 13 languages (translated by the community) Special Features Twitch Integration: Streamers, play with your viewers! Steam Features Cloud Achievements Workshop Trading Cards ",,,,6.99,
https://store.steampowered.com/app/1018270/Anthropomachy/,app,Anthropomachy,"Get ready for conquering the world as a God! Show compassion to those who have nothing and they will love you. Take from those who have everything and they will fear you. Gain worshipers, fight skepticism and make the Earth belong to the gods once again! Long live the Greek Gods!",2019-01-29,Toy Box Lab,"Toy Box Lab,Toy Box Lab","Early Access,Strategy,Indie,Early Access,Casual,Simulation,Mythology,Singleplayer,Replay Value,2D,God Game,RTS,Realistic,Futuristic,Education,Tactical,Clicker","Single-player,Steam is learning about this game??
									",English,NaN,"Casual,Indie,Simulation,Strategy,Early Access"," About This Game  Throughout history, civilizations have risen and fallen, each with its particular culture, habits and myths. With the evolution of human knowledge and the advent of modern technology, humanity has become more and more skeptic and have strayed away from their deities. But centuries of glory and power cannot be forgotten?€?. Get ready for conquering the world as a God! But don?€?t think it?€?s going to be that easy. Humans have evolved in many aspects since the mythological times, so be wise while using your divine abilities: Show compassion to those who have nothing and they will love you. Take from those who have everything and they will fear you. Watch out for the events happening all around the globe and fight skepticism. Make humanity praise you! Choose your God, evolve His traits and acquire new abilities. Send priests to spread the Sacred word. Take control and conquer over 7.5 billion potential believers. Convert territories, gain worshipers and make the Earth belong to the gods once again! Long live the Greek Gods! Features:  True-to-life political scenario: 71 distinct territories with stats modeled after their real-life counterparts;  Four* major and nine minor gods: From the very famous to the most uncommon Greek myths;  Real-time events that can change your entire strategy: a truly unique experience every time you play;  More than 250 divine abilities: all of them based on actual mythological tales about its God;  Shape your deity as you wish: You want the benevolent Persephone to be more egocentric? And what about a violent Athena? The power is in your hands;  Use your blessings or curses to gain Faith: Spend it to buy more abilities, develop more traits and even recruit a minor god to your conquering quest;  Freedom to decide the world?€?s destiny: Do whatever you want to a nation but make the wrong decision and lose followers in the territory. *Early Access. The final version of Anthropomachy will contemplate 12 major Gods.",,,,6.99,
https://store.steampowered.com/app/424280/Iron_Snout/,app,Iron Snout,"Iron Snout is a fast, colorful and brutal fighting game in which you will be helping a piglet fight for its life against hordes of wolves.",2019-01-31,SnoutUp,"SnoutUp,SnoutUp","Free to Play,Funny,Action,Fighting,Gore,2D,2D Fighter,Indie,Singleplayer,Cartoon,Survival,Blood,Violent,Fast-Paced,Casual,Arcade,Beat 'em up,Cute,Difficult,Co-op","Single-player,Steam Achievements,Partial Controller Support,Stats,Steam Leaderboards",English,37,"Action,Free to Play,Indie"," About This Game  Iron Snout is fast, colorful and brutal button-mash fighting game in which you will be helping a piglet fight for its life against hordes of wolves. fast-paced and bacon-flavored combat movie-like combo moves to fight hilarious (but dangerous) enemies knocking enemy heads and throwing them back at them hyper-responsive controls tons of Steam achievements challenge your friends in Steam leaderboards Other Games https://store.steampowered.com/app/590950/Toaster_Jam/ https://store.steampowered.com/app/646240/Bacon_May_Die/ Special thanks Store art: Steffen Wittig Background music: weirdnoises ",,,,0,
https://store.steampowered.com/app/253900/Knights_and_Merchants/,app,Knights and Merchants,"KNIGHTS and MERCHANTS recreates the era of the Middle Ages. Apart from the purely fictitious geography of our world, all game elements and scenes are based on the Anglo-Saxon period, 1200 A.D. And we haven't used imaginary elements like fabled creatures, either. The player takes on the role of an ordinary captain in the Palace Guard.",2019-02-01,Topware Interactive,"Topware Interactive,Topware Interactive","Strategy,Medieval,RTS,City Builder,Classic,Simulation,Singleplayer,Historical,Multiplayer,Masterpiece,Cult Classic,Old School,Great Soundtrack,Resource Management,Management,Difficult,2D,Economy","Single-player,Multi-player,Steam Trading Cards","English,French,German,Spanish - Spain,Dutch,Hungarian,Polish,Russian,Czech",NaN,"Simulation,Strategy"," About This Game  KNIGHTS and MERCHANTS recreates the era of the Middle Ages. Apart from the purely fictitious geography of our world, all game elements and scenes are based on the Anglo-Saxon period, 1200 A.D. And we haven't used imaginary elements like fabled creatures, either. The player takes on the role of an ordinary captain in the Palace Guard. A conspiracy against the king catapults the captain into a situation where he finds himself responsible for the defence of the last royal province. This is all that remains of the shattered kingdom, which has been split into numerous small principalities and fiefdoms. And now even the king himself, ensconced in his capital, is threatened by enemy armies. This is the starting point of your Middle Ages adventure. Now you must win back all those provinces which once belonged to your king. THE SHATTERED KINGDOM: After many battles, a former kingdom has been divided into many small principalities and earldoms. The king??s troops were pushed back into one last royal province, and the rulers of the other provinces waged terrible, destructive wars against one another. The whole land fell into a state of chaos and now the former royal capital itself is under siege by the armies of the rebel lords. You belong to the last remaining group of loyal king??s men, and have been commanded to go to the king in view of the imminent attack. THE PEASANTS REBELLION: Build a prosperous settlement with a complete economy. Arm your troops and meet the enemy on the battle field! Master these tasks and the King?€?s subjects will be able to live in peace and freedom again. GAME FEATURES : Middle ages simulation and Real-time strategy 2 campaigns ""The Shattered Kingdom"" and ""The Peasants Rebellion"" with a total of 34 missions Skirmish Mode and 10 Multiplayer-Maps About 25 different types of buildings More than a dozen different types of characters Over 10 different troop types, including archers, scouts, knights, bowman and barbarians Multiplayer battles with up to 6 players in LAN or through the Internet New Musical Score ",,"Minimum:,OS:,Windows XP / Vista / 7 / 8,Processor:,Intel or AMD Singlecore CPU,Memory:,512 MB RAM,Graphics:,3D graphics card with DirectX 9.0c support,DirectX:,Version 9.0c,Network:,Broadband Internet connection,Storage:,500 MB available space,Sound Card:,DirectX compatible Stereo Soundcard,Additional Notes:,Keyboard, Mouse,Minimum:,OS:,Mac OS X 10.7 or higher,Processor:,Intel Mac Single Core CPU,Memory:,512 MB RAM,Graphics:,3D graphics card with 128 MB RAM,Network:,Broadband Internet connection,Storage:,500 MB available space,Sound Card:,required,Additional Notes:,Keyboard, Mouse,Minimum:,OS:,Ubuntu 12.04 or SteamOS,Processor:,Intel or AMD Singlecore CPU,Memory:,512 MB RAM,Graphics:,3D graphics card with OpenGL support,Network:,Broadband Internet connection,Storage:,500 MB available space,Sound Card:,required,Additional Notes:,Keyboard, Mouse","Recommended:,OS:,Windows XP / Vista / 7 / 8,Processor:,Intel or AMD Singlecore CPU,Memory:,1 GB RAM,Graphics:,3D graphics card with DirectX 9.0c support,DirectX:,Version 9.0c,Network:,Broadband Internet connection,Storage:,500 MB available space,Sound Card:,DirectX compatible Stereo Soundcard,Additional Notes:,Keyboard, Mouse,Recommended:,OS:,Mac OS X 10.8 or higher,Processor:,Intel Mac Single Core CPU 2.0 GHz,Memory:,1 GB RAM,Graphics:,3D graphics card with 128 MB RAM,Network:,Broadband Internet connection,Storage:,500 MB available space,Sound Card:,required,Additional Notes:,Keyboard, Mouse,Recommended:,OS:,Ubuntu 15.10 or SteamOS,Processor:,Intel or AMD Singlecore CPU,Memory:,1 GB RAM,Graphics:,3D graphics card with OpenGL support,Network:,Broadband Internet connection,Storage:,500 MB available space,Sound Card:,required,Additional Notes:,Keyboard, Mouse",6.99,
https://store.steampowered.com/app/896750/Koral/,app,Koral,"Koral, a love letter to the ocean. Dive into the beautiful underwater world as a sea current. Solve puzzles to bring back to life coral reefs and spread the beauty of the oceans in different sea ecosystems.",2019-02-02,Carlos Coronado,"Carlos Coronado,Carlos Coronado","Underwater,Casual,Beautiful,Atmospheric,Relaxing,Colorful,Indie,Simulation,Exploration,Puzzle,Adventure,Psychological,Great Soundtrack,Controller,Family Friendly,Fantasy,Walking Simulator,Story Rich","Single-player,Steam Achievements,Full controller support,Steam is learning about this game??
									","English,French,German,Spanish - Spain,Japanese,Korean,Portuguese,Russian,Simplified Chinese",17,"Adventure,Casual,Indie,Simulation"," About This Game  Disclaimer: Koral is a short but dense game that will last you no more than 3 hours. More if you want to get 100%. If playtime/price is crucial to you, waiting for a sale is adviced :) A love letter to the ocean. In Koral the player will dive into the beautiful underwater world as a sea current. Solve puzzles to bring back to life coral reefs and spread the beauty of the oceans in 15 different sea ecosystems. Flow anywhere you want to find for ways to transport healing energy for other corals and heal entire reefs and watch in realtime how the seafloor becomes colorful and vibrant with life and diversity. On it?€?s core, Koral is a love letter to the ocean . On it?€?s surface, Koral is a puzzle game featuring unique gameplay and puzzle mechanics thanks to the interactions with various Coral species and underwater life . With it's light puzzles elements and various challenges you will learn about stunning sea facts and discover out of this planet worlds. Koral will feature 15 different sea environments and 32 collectibles and the core gameplay features plenty of accessibility features to make the game accessible by default to a wide, large audience including casual and non videogame players. The game about the sea made in the sea On the other hand, the Making Of explaining how Koral was developed in a sailship got released too! The game was developed on a sailship in a pristine marine reserve in Northern Catalonia called Cap De Creus. Everything was recorded (including the trip to get there, a scuba diving adventure and various challenges that come from developing a game on a boat with limited power supply) and the most interesting parts are featured in the Making Of. Watch it on Youtube now . Awards Koral was awarded with an Unreal Dev Grant and was developed by Carlos Coronado, winner of over 15 awards including Titanium Indie Game of the Year with MIND: Path to Thalamus (Switch, Pc) and also developer of Infernium (PS4, Switch, PC) and Annie Amber (gearVr).",,"Minimum:,OS:,Windows 7 SP1 64bit, Windows 8.1 64bit Windows 10 64bit,Processor:,Intel Core i3-2100 / AMD?? FX-6300,Memory:,2 GB RAM,Graphics:,NVIDIA?? GeForce GTX 750 Ti / ATI Radeon HD 7950,DirectX:,Version 9.0c,Storage:,1 GB available space,Sound Card:,DirectX 9 sound device,Additional Notes:,Controller support: Microsoft Xbox ?? Controller for Windows?? (or equivalent) recommended","Recommended:,OS:,Windows 7 SP1 64bit, Windows 8.1 64bit Windows 10 64bit,Processor:,Intel Core i7-3770 / AMD?? FX-8350,Memory:,4 GB RAM,Graphics:,NVIDIA?? GeForce GTX 970 / ATI Radeon R9 series,Storage:,1 GB available space,Sound Card:,DirectX 9 sound device,Additional Notes:,Controller support: Microsoft Xbox ?? Controller for Windows?? (or equivalent) recommended",11.99,
https://store.steampowered.com/app/224960/Tomb_Raider_I/,app,Tomb Raider I,"Adventurer Lara Croft has been hired to recover the pieces of an ancient artifact known as the Scion. With her fearless acrobatic style she runs, jumps, swims and climbs her way towards the truth of its origin and powers - leaving only a trail of empty tombs and gun-cartridges in her wake.",2019-02-03,Core Design,"Square Enix,Square Enix","Adventure,Action,Classic,Female Protagonist,Lara Croft,Singleplayer,Puzzle,Third Person,Platformer,Retro,Action-Adventure,Third-Person Shooter,1990's,Old School,3D Platformer,Shooter,Exploration,Masterpiece,Atmospheric,Dinosaurs",Single-player,English,NaN,"Action,Adventure"," About This Game Adventurer Lara Croft has been hired to recover the pieces of an ancient artifact known as the Scion. With her fearless acrobatic style she runs, jumps, swims and climbs her way towards the truth of its origin and powers -  leaving only a trail of empty tombs and gun-cartridges in her wake. On this trail are breath-taking 3D worlds where exploration, puzzle and platform elements blend in a seamless real-time environment...",,,,6.99,
https://store.steampowered.com/app/569200/Space_Rogue_Classic/,app,Space Rogue Classic,"Dropping out of hyperspace, you lay a course of Lagrange Station. Suddenly, the klaxon screams out a warning. Two Darts and a Corsair, closing fast. Pirates! You roll hard to avoid the incoming plasma torps. One hits, knocking down your rear shield. Spinning to protect your stern, you launch a heat seeker.",2019-02-04,"ORIGIN Systems, Inc.","ORIGIN Systems, Inc.,Nightdive Studios,ORIGIN Systems, Inc.,Nightdive Studios","RPG,Simulation,Action,Classic",Single-player,English,NaN,"Action,RPG,Simulation"," About This Game Dropping out of hyperspace, you lay a course of Lagrange Station. Suddenly, the klaxon screams out a warning. Two Darts and a Corsair, closing fast. Pirates! You roll hard to avoid the incoming plasma torps. One hits, knocking down your rear shield. Spinning to protect your stern, you launch a heat seeker. Direct hit: the Corsair burst into shards. Stunned, the Darts run for deep space. Later, over a pint of Rigelian in the Lagrange cantina, you listen as a bounty hunter tells of the Scarlet Brotherhood, the most notorious band of pirates in the Far Arm. You hope it wasn't one of their Corsairs you vaporized out there... Inspired Space Flight Simulation! Trek through an astonishingly realistic universe with outposts and mining stations, planets and asteroids, stars and starships - all in spectacular 3D graphics. Watch combat from cockpit, chase plane, or cinematic camera angles. Engage cunning foes in heated dogfights, where you'll have to outgun and outsmart your opponents to taste victory. Outfit your ship with plasma torpedoes, plasteel armor, particle beams, missles, force shields, ECM units and more. Execute loops, rolls, and spins. Feel the tug of gravity as you whip around a star. Authentic spaceflight dynamics push your piloting skills to the limit. Intense Role-Playing Adventure Make a fortune - and a name - trading cargo, bounty hunting, or plundering merchant ships. Every action you take affects your reputation, and who calls you friend of for. Meet and converse with the inhabitants of the Far Arm: Imperial troopers, merchant princes, talkative robots, and treacherous pirates. Shop for starship hardware, do favors for aliens, carouse in bars - even play HIVE!, the galaxy's hottest arcade game. You will be drawn into a web of intrigue; secret plots, assassination attempts, intergalactic war. Ultimately, the destiny of billions will hinge on your deeds. An Electrifying ORIGIN Cinematic Experience!",,"Minimum:,OS:,Windows XP / Vista / 7 / 10,Processor:,1.0 GHz Processor,Memory:,512 MB RAM,Graphics:,100% DirectX compatible graphics,Storage:,50 MB available space,Sound Card:,100% DirectX compatible card or onboard sound,Minimum:,OS:,Ubuntu 16.04 LTS,Processor:,1.0 GHz Processor,Memory:,512 MB RAM,Graphics:,100% OpenGL accelerated card or onboard graphics,Storage:,50 MB available space,Sound Card:,Any ALSA supported card on onboard audio","Recommended:,OS:,Windows 10,Processor:,1.5 GHz Processor,Memory:,1 GB RAM,Graphics:,100% DirectX compatible graphics,Storage:,50 MB available space,Sound Card:,100% DirectX compatible card or onboard sound,Recommended:,OS:,Ubuntu 16.04 LTS,Processor:,1.5 GHz Processor,Memory:,1 GB RAM,Graphics:,100% OpenGL accelerated card or onboard graphics,Storage:,50 MB available space,Sound Card:,Any ALSA supported card on onboard audio",5.99,
https://store.steampowered.com/app/834760/Robot_Wants_It_All/,app,Robot Wants It All,"Robot wants stuff! Go get it for him in this compilation of the metroidvania Robot Wants series, including an all-new Robot adventure!",2019-02-05,"Hamumu Games, Inc.","Hamumu Games, Inc.,Hamumu Games, Inc.","Action,Indie,Metroidvania,Pixel Graphics,2D,Robots,Platformer,Side Scroller,Retro,Family Friendly,Singleplayer,Exploration,Difficult,Old School,Fast-Paced,Colorful,Character Action Game","Single-player,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards,Profile Features Limited??
									",English,52,"Action,Indie"," About This Game Robot wants stuff, so go get it for him! This game is a compilation of the original Robot Wants games from 2010: Robot Wants Kitty, Robot Wants Puppy, Robot Wants Fishy , and Robot Wants Ice Cream . In addition, it includes Robot Wants Y!? , a mini-game that was actually the main banner on the JayIsGames website for a while. And of course, Robot wouldn't be wanting it all if we didn't add Robot Wants Justice , a brand new Robot adventure! Robot Wants pioneered the ""mini-metroidvania"" concept - an adventure you play through over an hour or less, collecting the powerups you need to go from zero to Kitty along the way. And all with a clock ticking - speedruns are the goal! Each of the included games includes 2 alternate maps (an ""Easy"" map, which sometimes is not so easy, but we guarantee it is short! And a ""Remix"" map, which is never easy, or quick), and there are also 12 Mutators which allow you to transform the way the game plays in a variety of helpful and horrible ways. Online high scores to compete with your friends - each unique combination of mutators has a separate high score table, so try to be the best at your specialty. The ultimate Metroidvania action - you can't even JUMP without first finding a power-up in some of these games. A massive shop full of features and game modes to unlock as you play (with space money, not real money. No IAP or DLC here) Extreme alien blasting in Robot Wants Kitty Intense kitty-hurling action in Robot Wants Puppy Psychotic mad bombing in Robot Wants Fishy A unique combination of Metroidvania and RPG in Robot Wants Ice Cream Serious puzzle-solving action in Robot Wants Y?! Alien-smashing, air-dashing combos in Robot Wants Justice ",,,,19.99,
https://store.steampowered.com/app/667870/MINDNIGHT/,app,MINDNIGHT,"MINDNIGHT is a free-to-play online multiplayer, a game of deceit, accusations and unpredictability. It challenges the player's ability to lie and detect other players that are lying.",2019-02-06,No Moon,"No Moon,No Moon","Free to Play,Multiplayer,RPG,Strategy,Indie,Mystery,Pixel Graphics,Cyberpunk,Hacking,Atmospheric,Co-op,Great Soundtrack,Funny,Party-Based RPG,Replay Value,Difficult,Tactical,Casual,Board Game,Dark Humor","Multi-player,Online Multi-Player,Steam Achievements,In-App Purchases,Stats",English,87,"Free to Play,Indie,RPG,Strategy"," About This Game MINDNIGHT is a FREE TO PLAY online multiplayer game of social deduction for 5 to 8 players, a take on the classic party games such as Werewolf and The Resistance. It is a game of deceit, accusations and unpredictability. It challenges the player's ability to lie and detect other players that are lying. HOW TO PLAY Players are assigned a random role to be either Agents or Hackers. In order to win the game with your team you must capture three nodes. In each round, there are three phases. The Talking Phase, The Voting Phase and the Mission Phase.After a team proposal for a mission node, each player on the proposed and voted team must secretly perform an action on the mission node. Agents may only secure the node. Hackers may either secure or hack based on their preference. Hackers have the objective to hack three nodes while Agents need to secure three nodes from the total of five. As a hacker you know who your fellow hackers are, but as an agent, you know only who you are. Take a look at the How To Play Video to better understand the rules and gameplay. https://youtu.be/MoSxtK-pPnQ ?€??€? Secure. Seek. Subvert. ???????? Be an agent attempting to secure the city network, or be a hacker attempting to compromise and defeat them. Utilize your communication, manipulation, and deduction skills to persuade others and win the game.  You?€?ll never play the same game twice. Set in a future cyberpunk San Francisco, in 2038, cities have crushed the open internet. Networks are locked by security nodes and need to be maintained by NTF agents. Hackers have been searching for a way to break into them for years. Save or corrupt the network by working together. Remember...in the future, anyone could be compromised. Who can you trust? ?? The game is a tribute to social party games such as The Resistance and Werewolf. As MINDNIGHT is heavily inspired after these games, we are looking into other table-top deduction social games to bring new features and modes along the way through updates. MINDNIGHT is a game that was created initially in a internal game jam.",,"Minimum:,OS:,Windows XP or Greater,Processor:,Dual Core +,Memory:,1 GB RAM,Graphics:,512MB +,Network:,Broadband Internet connection,Storage:,191 MB available space","Recommended:,OS:,Windows 10,Processor:,4 Cores +,Memory:,2 GB RAM,Graphics:,512MB +,Network:,Broadband Internet connection,Storage:,191 MB available space",0,
https://store.steampowered.com/sub/439/,sub,Heretic + Hexen Collection,Heretic + Hexen Collection bundle,2019-02-07,Raven Software,id Software,NaN,"Single-player,Multi-player,Co-op,Steam Cloud",English,NaN,Action,NaN,NaN,NaN,NaN,9.99,
https://store.steampowered.com/app/251950/WWII_Online/,app,WWII Online,"WWII Online is a combined arms, MMO, FPS, simulation of WWII in Europe. Campaign strategic layer that is player driven, in a massive (zone-less) game world, hundreds of highly detailed weapons and vehicles. Join the game and receive 2 weeks premium access, then subscribe or continue to play for free with a rifle, a SMG and a truck!",2019-02-08,Cornered Rat Software,"Cornered Rat Software,Cornered Rat Software","Early Access,Early Access,World War II,Free to Play,Massively Multiplayer,Action,FPS,Simulation,Multiplayer,Strategy,Shooter,Open World,Indie,War,Realistic,Military,First-Person,RPG,Co-op,Singleplayer","Single-player,Online Multi-Player,MMO,Online Co-op","English,French,Italian,German,Spanish - Spain,Simplified Chinese",NaN,"Action,Free to Play,Indie,Massively Multiplayer,RPG,Simulation,Strategy,Early Access"," About This Game  THE FIRST AND ONLY WWII MMO WARGAME SINCE 2001 Key Features: Single permanent server (worldwide community with 24/7 interactions) Combined Air/Ground/Sea battles Server capacity for 5.000 concurrent players Huge (continuous) map to conquer Large set of WWII weapons from different axis/allied nations Detailed infantry & vehicle simulation (controls, damages, performances...) Required teamwork by fear of death Freedom of a player-driven game play (no coded scenarios) 99.99% PvP (with some AI defensive support) WWII data & facts authenticity (orbat, models, timeline, table of equipment, load-out..) THE VIRTUAL BATTLEFIELD DOES EXIST! World War II Online is a Massively Multiplayer FPS, simulation game set in the Western Front of WWII and hosted on a huge single map . There is virtually no limit to the amount of players that can join the battlefield and fight as infantry, tanker, pilot or captain! The game offers a strategic and persistent winnable Campaign that is completely player-driven, both in the strategic planning and players fighting to control territory, with more than 240 weapons and vehicles. Fly the Spitfire, drive the Tiger or the Sherman Firefly, shoot with the Flak36 88mm, sail a destroyer... WWII Online?€?s game play is unmatched in terms of scale, realism and replay ability. ALL OUT WAR, ON A MASSIVE SCALE Its scale is a massive 300,000 SQ KM that is an interconnected and zone-less game world offering total freedom for players. This scale allows for truly immersive combined arms pvp combat. Communication between the Army, Air Force, and Naval units that are engaged will help determine the outcome! There are no limitations to how many players can interact in a battle space. SERIOUS HISTORICAL ACCURACY All weapons, vehicles, munitions and ordinance perform according to realistic values. We have achieved this through direct access to historical archives, a network of military experts and our advanced proprietary game engine that goes in depth like never before. Armor on tanks and aircraft, as well as their internal components, are modeled down to the millimeter. HIGHLY DETAILED DAMAGE MODELS Our damage models go into extreme detail with each component being destroyable in vehicles including crew, weapon storage, gas tanks and more! You don?€?t just shoot a hitbox?  NO! With every shot fired, multiple calculations take place that determine the round impact consequences. Some of these include; angle of obliquity, speed of round at impact, thickness of the armor, internal spall, armor penetration, parts of tank damaged, etc. FAIR GAME PLAY FOR ALL Just like in real life, the outcome of each engagement will be determined by strategy, tactics, teamwork, and your weapon handling skills! In WWII Online there are no special power ups or item buys giving someone a special advantage against other players. CONTINUOUS DEVELOPMENT Thousands of manhours have already been invested in this game since 2001. Become part of History, the World War II Online project is alive and growing! Read our 2019-2020 development roadmap . SQUAD-DRIVEN GAME WWII Online is a serious game that requires time investment, a willingness to work as a team player. If you do not join a squad and voice comms, you will likely be lost and frustrated. Each time you log in, a pop up window will show you the currently available squad recruiters. You can check the list of existing squads and their stats on the Squad Tools page . For the best game play experience possible, you should first get on the Allied or Axis WWII Online Discord Server . Integrated voicomms are currently into development. SUBSCRIPTION BASED GAME WWII Online has always been and remain a subscription based game. This helps for operating costs like our game servers, bandwidth, power, staff, etc. and thus keep our single map up 24/24. (subscription comparison / breakdown here). The STARTER subscription unlocks all our Steam?€?s DLCs content, as medium tanks, bombers, armored cars, all paratroopers, grenadiers and mortarmen. It is the best deal to start playing the game and gain your first ranks. When campaigns reach higher tiers, however, you will need more teamwork and better tactics to face heavier weapons. The PREMIUM subscription unlocks the complete game experience, within restrictions of your current in game rank and the ongoing campaign Tier. We recommend the premium subscription to players with rank 4 and above. There are NO micro-transactions nor advertisements in game. Your rank only will unlock heavier equipment. DOWNLOADABLE CONTENT (DLC) You can't afford to keep a subscription running? Good news! Since september 2018, content from the STARTER susbcriptions can be purchased as downloadable content without requiring a subscription! You will pay for one or multiple DLC one time and you will own that content indefinitely. At anytime, you can subscribe to gain premium access but should you choose to unsubscribe, these DLC items will remain with your account, always. More information is available on the dedicated store pages. We highly recommend to first try the game through a monthly STARTER subscription that unlocks all DLC?€?s content for 30 days, then chose the ones that fit your preferred game style. CURRENT CAMPAIGN IS NUMBER 164, STARTED ON 5 JUNE 2019 Choose your side: Join the Allied DISCORD or Join the Axis DISCORD ! Your side commanders: Commander in Chief of the Allied Forces : BONDPAUL Oberbefehlshaber der Achsenm??chte : LAFLEUR Check the state of the fronline and the latest stats on our WORLD@WAR GAZETTE . IN-GAME UNITS CONTROLS Controls in World War II Online are not the same as those setup in arcade FPS games. Vehicles require multiple controls to be played with a more realistic (but constraining) approach. Please take the time to study which controls are setup by default. You can customize these through our ""KEYMAPPER"": https://www.youtube.com/watch?v=uVVbbkZeD38 More information about the game can be found on the official wiki . Use the ????help???? chat channel whenever needed, in game (activate by pressing F6 once) or on DISCORD. Always ask for other players or for a squad to stick to. Questions? ideas? Please post on the forums or contact zebbeee@corneredrats.com ",,"Minimum:,OS:,Windows 7 / Windows 8,Processor:,Pentium 4 3.2 GHz or Athlon 64 3500+ (2.2 GHz) or better with SSE 2.0 support,Memory:,4 GB RAM,Graphics:,NVIDIA GeForce 8600 series or ATI Radeon HD 2600 Pro,Network:,Broadband Internet connection,Storage:,2 GB available space,Sound Card:,on-board or better,Minimum:,OS:,OS X 10.10 +,Memory:,4 GB RAM,Graphics:,NVIDIA GeForce 8600 series or ATI Radeon HD 2600 Pro,Network:,Broadband Internet connection,Storage:,1 GB available space,Sound Card:,on-board or better","Recommended:,OS:,Windows 8.1 / Windows 10,Processor:,3 GHz Dual Core or 2.66 GHz Quad Core,Memory:,8 GB RAM,Graphics:,GeForce GTX 250 or Radeon HD 4850 or better,Network:,Broadband Internet connection,Storage:,2 GB available space,Sound Card:,on-board or better,Recommended:,OS:,OS Sierra 10.12.2+,Memory:,8 GB RAM,Graphics:,GeForce GTX 250 or Radeon HD 4850 or better,Network:,Broadband Internet connection,Storage:,1 GB available space,Sound Card:,on-board or better",0,
